Words,Meanings,Characters,Spellings,Levels
横,"beside, side, width",よこ,yoko,5
冷たい,cold to the touch,つめたい,tsumetai,5
夜,"evening, night",よる,yoru,5
トイレ,toilet,,toire,5
おなか,stomach,,onaka,5
どこ,where,,doko,5
暇,free time,ひま,hima,5
鳴く,"animal noise. to chirp, roar or croak etc.",なく,naku,5
隣,next door to,となり,tonari,5
先生,"teacher, doctor",せんせい,sensei,5
出口,exit,でぐち,deguchi,5
後ろ,behind,うしろ,ushiro,5
先月,last month,せんげつ,sengetsu,5
テープ,tape,,tēpu,5
お姉さん,(honorable) older sister,おねえさん,oneesan,5
じゃ / じゃあ,well then…,,ja / jaa,5
本,book,ほん,hon,5
泳ぐ,to swim,およぐ,oyogu,5
灰皿,ashtray,はいざら,haizara,5
門,gate,もん,mon,5
荷物,luggage,にもつ,nimotsu,5
この,this,,kono,5
書く,to write,かく,kaku,5
毎年,every year,まいねん / まいとし,mainen / maitoshi,5
明日,tomorrow,あした,ashita,5
ホテル,hotel,,hoteru,5
降りる,"to get off, to descend",おりる,oriru,5
重い,heavy,おもい,omoi,5
電車,electric train,でんしゃ,densha,5
痛い,painful,いたい,itai,5
話す,to speak,はなす,hanasu,5
りっぱ,splendid,,rippa,5
つまらない,boring,,tsumaranai,5
よく,"often, well",,yoku,5
嫌,unpleasant,いや,iya,5
宿題,homework,しゅくだい,shukudai,5
死ぬ,to die,しぬ,shinu,5
みんな,everyone,,minna,5
万,ten thousand,まん,man,5
映画,movie,えいが,eiga,5
遅い,"late, slow",おそい,osoi,5
耳,ear,みみ,mimi,5
かかる,to take time or money,,kakaru,5
でも,but,,demo,5
四つ,four,よっつ,yottsu,5
机,desk,つくえ,tsukue,5
あっち,over there,,atchi,5
買う,to buy,かう,kau,5
開く,"to open, to become open",あく,aku,5
教室,classroom,きょうしつ,kyōshitsu,5
かばん,"bag, basket",,kaban,5
マッチ,match,,matchi,5
短い,short,みじかい,mijikai,5
姉,(humble) older sister,あね,ane,5
大勢,great number of people,おおぜい,ōzei,5
開ける,to open,あける,akeru,5
忙しい,"busy, irritated",いそがしい,isogashii,5
おばあさん,"grandmother, female senior-citizen",,obaasan,5
店,shop,みせ,mise,5
ワイシャツ,business shirt,,waishatsu,5
北,north,きた,kita,5
ラジオ,radio,,rajio,5
すぐに,instantly,,suguni,5
ハンカチ,handkerchief,,hankachi,5
いつ,when,,itsu,5
全部,all,ぜんぶ,zenbu,5
橋,bridge,はし,hashi,5
川 / 河,river,かわ,kawa,5
バター,butter,,batā,5
もっと,more,,motto,5
入口,entrance,いりぐち,iriguchi,5
など,et cetera,,nado,5
太い,fat,ふとい,futoi,5
やる,to do,,yaru,5
自動車,automobile,じどうしゃ,jidōsha,5
昼,"noon, daytime",ひる,hiru,5
色,colour,いろ,iro,5
黄色,yellow,きいろ,kiiro,5
左,left hand side,ひだり,hidari,5
野菜,vegetable,やさい,yasai,5
シャワー,shower,,shawā,5
散歩,to stroll,さんぽする,sanposuru,5
三,three,さん,san,5
消える,to disappear,きえる,kieru,5
映画館,cinema,えいがかん,eigakan,5
いす,chair,,isu,5
誕生日,birthday,たんじょうび,tanjōbi,5
切る,to cut,きる,kiru,5
七日,"seven days, the seventh day",なのか,nanoka,5
洗う,to wash,あらう,arau,5
あれ,that,,are,5
グラム,gram,,guramu,5
習う,to learn,ならう,narau,5
後,afterwards,あと,ato,5
猫,cat,ねこ,neko,5
図書館,library,としょかん,toshokan,5
並べる,"to line up, to set up",ならべる,naraberu,5
しかし,however,,shikashi,5
大きい,big,おおきい,ōkii,5
八日,"eight days, eighth day of the month",ようか,yōka,5
歩く,to walk,あるく,aruku,5
ズボン,trousers,,zubon,5
九日,"nine days, ninth day",ここのか,kokonoka,5
そっち,over there,,sotchi,5
たて,"length, height",,tate,5
カップ,cup,,kappu,5
あの,that over there,,ano,5
頼む,to ask,たのむ,tanomu,5
お兄さん,(honorable) older brother,おにいさん,oniisan,5
手,hand,て,te,5
ええ,yes,,ee,5
毎日,every day,まいにち,mainichi,5
花,flower,はな,hana,5
一,one,いち,ichi,5
居る,"to be, to have (used for people and animals)",いる,iru,5
砂糖,sugar,さとう,satō,5
カレンダー,calendar,,karendā,5
今,now,いま,ima,5
旅行,travel,りょこう,ryokō,5
できる,to be able to,,dekiru,5
春,spring,はる,haru,5
する,to do,,suru,5
八つ,eight,やっつ,yattsu,5
町,"town, city",まち,machi,5
渡す,to hand over,わたす,watasu,5
青,blue,あお,ao,5
白,white,しろ,shiro,5
ある,"to be, to have (used for inanimate objects)",,aru,5
ベッド,bed,,beddo,5
水,water,みず,mizu,5
いくつ,"how many?, how old?",,ikutsu,5
楽しい,enjoyable,たのしい,tanoshii,5
御飯,"cooked rice, meal",ごはん,gohan,5
皆さん,everyone,みなさん,minasan,5
おいしい,delicious,,oishii,5
ペット,pet,,petto,5
外,outside,そと,soto,5
前,before,まえ,mae,5
来る,to come,くる,kuru,5
おもしろい,interesting,,omoshiroi,5
貸す,to lend,かす,kasu,5
早い,early,はやい,hayai,5
弱い,weak,よわい,yowai,5
洗濯,washing,せんたく,sentaku,5
九つ,nine,ここのつ,kokonotsu,5
来年,next year,らいねん,rainen,5
眼鏡,glasses,めがね,megane,5
背,"height, stature",せ,se,5
水曜日,Wednesday,すいようび,suiyōbi,5
お金,money,おかね,okane,5
同じ,same,おなじ,onaji,5
弾く,"to play an instrument with strings, including piano",ひく,hiku,5
土曜日,Saturday,どようび,doyōbi,5
階段,stairs,かいだん,kaidan,5
煩い,"noisy, annoying",うるさい,urusai,5
半分,half minute,はんぶん,hanbun,5
背広,business suit,せびろ,sebiro,5
晴れ,clear weather,はれ,hare,5
見せる,to show,みせる,miseru,5
飲み物,a drink,のみもの,nomimono,5
雪,snow,ゆき,yuki,5
買い物,shopping,かいもの,kaimono,5
交差点,intersection,こうさてん,kōsaten,5
駅,station,えき,eki,5
大丈夫,all right,だいじょうぶ,daijōbu,5
ボールペン,ball-point pen,,bōrupen,5
勉強,to study,べんきょうする,benkyōsuru,5
兄弟,(humble) siblings,きょうだい,kyōdai,5
封筒,envelope,ふうとう,fūtō,5
レコード,record,,rekōdo,5
コーヒー,coffee,,kōhī,5
漢字,Chinese character,かんじ,kanji,5
喫茶店,coffee lounge,きっさてん,kissaten,5
その,that,,sono,5
子供,child,こども,kodomo,5
ちょっと,somewhat,,chotto,5
女の子,girl,おんなのこ,onnanoko,5
紙,paper,かみ,kami,5
字引,dictionary,じびき,jibiki,5
あさって,day after tomorrow,,asatte,5
嫌い,hate,きらい,kirai,5
先,"the future, previous",さき,saki,5
答える,to answer,こたえる,kotaeru,5
食堂,dining hall,しょくどう,shokudō,5
テーブル,table,,tēburu,5
コピーする,to copy,,kopīsuru,5
働く,to work,はたらく,hataraku,5
こんな,such,,konna,5
たくさん,many,,takusan,5
ドア,Western style door,,doa,5
見る  観る,"to see, to watch",みる,miru,5
交番,police box,こうばん,kōban,5
ナイフ,knife,,naifu,5
辛い,spicy,からい,karai,5
洋服,western-style clothes,ようふく,yōfuku,5
晩御飯,evening meal,ばんごはん,bangohan,5
車,"car, vehicle",くるま,kuruma,5
ちょうど,exactly,,chōdo,5
もう一度,again,もういちど,mōichido,5
ポスト,post,,posuto,5
服,clothes,ふく,fuku,5
メートル,metre,,mētoru,5
パン,bread,,pan,5
半,half,はん,han,5
若い,young,わかい,wakai,5
食べる,to eat,たべる,taberu,5
四日,"four days, fouth day of the month",よっか,yokka,5
警官,policeman,けいかん,keikan,5
伯父 / 叔父,"grandfather, male senior citizen",おじいさん,ojiisan,5
これ,this,,kore,5
アパート,apartment,,apāto,5
鳥,bird,とり,tori,5
ここ,here,,koko,5
方,"person, way of doing",かた,kata,5
タクシー,taxi,,takushī,5
では,with that...,,deha,5
しょうゆ,soy sauce,,shōyu,5
少ない,a few,すくない,sukunai,5
白い,white,しろい,shiroi,5
待つ,to wait,まつ,matsu,5
次,next,つぎ,tsugi,5
行く,to go,いく,iku,5
角,a corner,かど,kado,5
男,man,おとこ,otoko,5
ギター,guitar,,gitā,5
聞く,"to hear, to listen to, to ask",きく,kiku,5
走る,to run,はしる,hashiru,5
お母さん,(honorable) mother,おかあさん,okaasan,5
意味,meaning,いみ,imi,5
物,thing,もの,mono,5
強い,powerful,つよい,tsuyoi,5
魚,fish,さかな,sakana,5
切手,postage stamp,きって,kitte,5
暗い,gloomy,くらい,kurai,5
出る,"to appear, to leave",でる,deru,5
犬,dog,いぬ,inu,5
女,woman,おんな,onna,5
飛行機,aeroplane,ひこうき,hikōki,5
日曜日,Sunday,にちようび,nichiyōbi,5
より、ほう,Used for comparison.,,"yori,hō",5
午前,morning,ごぜん,gozen,5
名前,name,なまえ,namae,5
丸い / 円い,"round, circular",まるい,marui,5
曲る,"to turn, to bend",まがる,magaru,5
鼻,nose,はな,hana,5
お弁当,boxed lunch,おべんとう,obentō,5
コップ,a glass,,koppu,5
結婚,marriage,けっこん,kekkon,5
置く,to put,おく,oku,5
渡る,to go across,わたる,wataru,5
伯母さん / 叔母さん,aunt,おばさん,obasan,5
それから,after that,,sorekara,5
明い,bright,あかるい,akarui,5
家庭,household,かてい,katei,5
パーティー,party,,pātī,5
あちら,there,,achira,5
スカート,skirt,,sukāto,5
靴,shoes,くつ,kutsu,5
ボタン,button,,botan,5
今月,this month,こんげつ,kongetsu,5
返す,to return something,かえす,kaesu,5
いかが,how,,ikaga,5
ストーブ,heater,,sutōbu,5
二人,two people,ふたり,futari,5
起きる,to get up,おきる,okiru,5
さあ,well…,,saa,5
あそこ,over there,,asoko,5
古い,old (not used for people),ふるい,furui,5
黄色い,yellow,きいろい,kiiroi,5
まだ,"yet, still",,mada,5
歌う,to sing,うたう,utau,5
飴,candy,あめ,ame,5
寝る,"to go to bed, to sleep",ねる,neru,5
それ,that,,sore,5
質問,question,しつもん,shitsumon,5
どなた,who,,donata,5
牛乳,milk,ぎゅうにゅう,gyūnyū,5
二,two,に,ni,5
紅茶,black tea,こうちゃ,kōcha,5
そちら,over there,,sochira,5
出かける,to go out,でかける,dekakeru,5
兄,(humble) older brother,あに,ani,5
留学生,overseas student,りゅうがくせい,ryūgakusei,5
月曜日,Monday,げつようび,getsuyōbi,5
締める,to tie,しめる,shimeru,5
熱い,hot to the touch,あつい,atsui,5
郵便局,post office,ゆうびんきょく,yūbinkyoku,5
細い,thin,ほそい,hosoi,5
六つ,six,むっつ,muttsu,5
本棚,bookshelves,ほんだな,hondana,5
結構,"splendid, enough",けっこう,kekkō,5
こちら,this person or way,,kochira,5
昨夜,last night,ゆうべ,yūbe,5
外国人,foreigner,がいこくじん,gaikokujin,5
絵,picture,え,e,5
使う,to use,つかう,tsukau,5
休む,to rest,やすむ,yasumu,5
テスト,test,,tesuto,5
貼る,to stick,はる,haru,5
たばこ,"tobacco, cigarettes",,tabako,5
涼しい,refreshing,すずしい,suzushii,5
昨日,yesterday,きのう,kinō,5
せっけん,economy,,sekken,5
初め / 始め,beginning,はじめ,hajime,5
雲,cloud,くも,kumo,4
サンドイッチ,sandwich,,sandoitchi,4
故障,to break-down,こしょう・する,koshō-suru,4
怖い,frightening,こわい,kowai,4
エスカレーター,escalator,,esukarētā,4
運ぶ,to transport,はこぶ,hakobu,4
受ける,to take a lesson or test,うける,ukeru,4
お嬢さん,young lady,おじょうさん,ojōsan,4
首,neck,くび,kubi,4
市民,citizen,しみん,shimin,4
付く,to be attached,つく,tsuku,4
すく,to become empty,,suku,4
こと,"thing, matter",,koto,4
訪ねる,to visit,たずねる,tazuneru,4
お祝い,congratulation,おいわい,oiwai,4
一生懸命,with utmost effort,いっしょうけんめい,isshōkenmei,4
済む,to finish,すむ,sumu,4
アメリカ,America,,amerika,4
復習,revision,ふくしゅう,fukushū,4
急,"urgent, steep",きゅう,kyū,4
これから,after this,,korekara,4
指輪,finger ring,ゆびわ,yubiwa,4
美しい,beautiful,うつくしい,utsukushii,4
直る,"to be fixed, to be repaired",なおる,naoru,4
水泳,swimming,すいえい,suiei,4
真中,middle,まんなか,mannaka,4
発音,pronunciation,はつおん,hatsuon,4
手伝う,to assist,てつだう,tetsudau,4
折れる,to break or be folded,おれる,oreru,4
一度,once,いちど,ichido,4
高等学校,high school,こうとうがっこう,kōtōgakkō,4
アルコール,alcohol,,arukōru,4
アナウンサー,announcer,,anaunsā,4
最初,"beginning, first",さいしょ,saisho,4
投げる,to throw or cast away,なげる,nageru,4
変える,to change,かえる,kaeru,4
昼間,"daytime, during the day",ひるま,hiruma,4
神社,Shinto shrine,じんじゃ,jinja,4
食料品,groceries,しょくりょうひん,shokuryōhin,4
丁寧,polite,ていねい,teinei,4
規則,regulations,きそく,kisoku,4
もうすぐ,soon,,mōsugu,4
絹,silk,きぬ,kinu,4
怒る,"to get angry, to be angry",おこる,okoru,4
用,use,よう,yō,4
致す,(humble) to do,いたす,itasu,4
海岸,coast,かいがん,kaigan,4
経済,"finance, economy",けいざい,keizai,4
以上,"more than, this is all",いじょう,ijō,4
掛ける,to hang something,かける,kakeru,4
届ける,to reach,とどける,todokeru,4
適当,suitability,てきとう,tekitō,4
祖父,grandfather,そふ,sofu,4
研究室,"study room, laboratory",けんきゅうしつ,kenkyūshitsu,4
文学,literature,ぶんがく,bungaku,4
生きる,to live,いきる,ikiru,4
それほど,to that extent,,sorehodo,4
うまい,delicious,,umai,4
ずいぶん,extremely,,zuibun,4
お・金持ち,rich man,かねもち / おかねもち,kanemochi / okanemochi,4
続く,to be continued,つづく,tsuzuku,4
受付,receipt,うけつけ,uketsuke,4
代わり,"substitute, alternate",かわり,kawari,4
残る,to remain,のこる,nokoru,4
世話,to look after,せわ・する,sewa-suru,4
スーツケース,suitcase,,sūtsukēsu,4
くれる,to give,,kureru,4
会話,conversation,かいわ,kaiwa,4
向かう,to face,むかう,mukau,4
増える,to increase,ふえる,fueru,4
紹介,introduction,しょうかい,shōkai,4
だから,"so, therefore",,dakara,4
季節,season,きせつ,kisetsu,4
そんなに,"so much, like that",,sonnani,4
このあいだ,"the other day, recently",,konoaida,4
虫,insect,むし,mushi,4
祖母,grandmother,そぼ,sobo,4
いらっしゃる,"(respectful) to be, to come or to go",,irassharu,4
変,strange,へん,hen,4
ぶどう,grapes,,budō,4
直す,"to fix, to repair",なおす,naosu,4
世界,the world,せかい,sekai,4
食事,to have a meal,しょくじ・する,shokuji-suru,4
うそ,a lie,,uso,4
